scenario_name,tokenizer_name,context_window,prompt_tokens,estimated_ttft_seconds,expected_output_tokens,tokens_per_second,estimated_decode_time_seconds,estimated_total_latency_seconds,decode_load,interpretation
packed_prompt_8192,TinyLlama/TinyLlama-1.1B-Chat-v1.0,8192,3877,0.2551,2048,10,204.8,205.0551,high,"With prompt_tokens=3877, estimated TTFT is about 0.2551 s. If the model generates 2048 output tokens at 10 tokens/sec, decode takes about 204.8 s and total latency becomes about 205.0551 s. This is only a simulation, not a real benchmark."
packed_prompt_32768,TinyLlama/TinyLlama-1.1B-Chat-v1.0,32768,3877,0.2551,2048,10,204.8,205.0551,high,"With prompt_tokens=3877, estimated TTFT is about 0.2551 s. If the model generates 2048 output tokens at 10 tokens/sec, decode takes about 204.8 s and total latency becomes about 205.0551 s. This is only a simulation, not a real benchmark."
packed_prompt_32768,mistralai/Mistral-7B-Instruct-v0.2,32768,3836,0.2534,2048,10,204.8,205.0534,high,"With prompt_tokens=3836, estimated TTFT is about 0.2534 s. If the model generates 2048 output tokens at 10 tokens/sec, decode takes about 204.8 s and total latency becomes about 205.0534 s. This is only a simulation, not a real benchmark."
packed_prompt_8192,mistralai/Mistral-7B-Instruct-v0.2,8192,3836,0.2534,2048,10,204.8,205.0534,high,"With prompt_tokens=3836, estimated TTFT is about 0.2534 s. If the model generates 2048 output tokens at 10 tokens/sec, decode takes about 204.8 s and total latency becomes about 205.0534 s. This is only a simulation, not a real benchmark."
packed_prompt_8192,Qwen/Qwen2.5-1.5B-Instruct,8192,3371,0.2348,2048,10,204.8,205.0348,high,"With prompt_tokens=3371, estimated TTFT is about 0.2348 s. If the model generates 2048 output tokens at 10 tokens/sec, decode takes about 204.8 s and total latency becomes about 205.0348 s. This is only a simulation, not a real benchmark."
packed_prompt_4096,Qwen/Qwen2.5-1.5B-Instruct,4096,3371,0.2348,2048,10,204.8,205.0348,high,"With prompt_tokens=3371, estimated TTFT is about 0.2348 s. If the model generates 2048 output tokens at 10 tokens/sec, decode takes about 204.8 s and total latency becomes about 205.0348 s. This is only a simulation, not a real benchmark."
packed_prompt_32768,Qwen/Qwen2.5-1.5B-Instruct,32768,3371,0.2348,2048,10,204.8,205.0348,high,"With prompt_tokens=3371, estimated TTFT is about 0.2348 s. If the model generates 2048 output tokens at 10 tokens/sec, decode takes about 204.8 s and total latency becomes about 205.0348 s. This is only a simulation, not a real benchmark."
packed_prompt_4096,TinyLlama/TinyLlama-1.1B-Chat-v1.0,4096,2663,0.2065,2048,10,204.8,205.0065,high,"With prompt_tokens=2663, estimated TTFT is about 0.2065 s. If the model generates 2048 output tokens at 10 tokens/sec, decode takes about 204.8 s and total latency becomes about 205.0065 s. This is only a simulation, not a real benchmark."
packed_prompt_4096,mistralai/Mistral-7B-Instruct-v0.2,4096,2621,0.2048,2048,10,204.8,205.0048,high,"With prompt_tokens=2621, estimated TTFT is about 0.2048 s. If the model generates 2048 output tokens at 10 tokens/sec, decode takes about 204.8 s and total latency becomes about 205.0048 s. This is only a simulation, not a real benchmark."
packed_prompt_8192,TinyLlama/TinyLlama-1.1B-Chat-v1.0,8192,3877,0.2551,1024,10,102.4,102.6551,high,"With prompt_tokens=3877, estimated TTFT is about 0.2551 s. If the model generates 1024 output tokens at 10 tokens/sec, decode takes about 102.4 s and total latency becomes about 102.6551 s. This is only a simulation, not a real benchmark."
packed_prompt_32768,TinyLlama/TinyLlama-1.1B-Chat-v1.0,32768,3877,0.2551,1024,10,102.4,102.6551,high,"With prompt_tokens=3877, estimated TTFT is about 0.2551 s. If the model generates 1024 output tokens at 10 tokens/sec, decode takes about 102.4 s and total latency becomes about 102.6551 s. This is only a simulation, not a real benchmark."
packed_prompt_8192,mistralai/Mistral-7B-Instruct-v0.2,8192,3836,0.2534,1024,10,102.4,102.6534,high,"With prompt_tokens=3836, estimated TTFT is about 0.2534 s. If the model generates 1024 output tokens at 10 tokens/sec, decode takes about 102.4 s and total latency becomes about 102.6534 s. This is only a simulation, not a real benchmark."
packed_prompt_32768,mistralai/Mistral-7B-Instruct-v0.2,32768,3836,0.2534,1024,10,102.4,102.6534,high,"With prompt_tokens=3836, estimated TTFT is about 0.2534 s. If the model generates 1024 output tokens at 10 tokens/sec, decode takes about 102.4 s and total latency becomes about 102.6534 s. This is only a simulation, not a real benchmark."
packed_prompt_4096,Qwen/Qwen2.5-1.5B-Instruct,4096,3371,0.2348,1024,10,102.4,102.6348,high,"With prompt_tokens=3371, estimated TTFT is about 0.2348 s. If the model generates 1024 output tokens at 10 tokens/sec, decode takes about 102.4 s and total latency becomes about 102.6348 s. This is only a simulation, not a real benchmark."
packed_prompt_32768,Qwen/Qwen2.5-1.5B-Instruct,32768,3371,0.2348,1024,10,102.4,102.6348,high,"With prompt_tokens=3371, estimated TTFT is about 0.2348 s. If the model generates 1024 output tokens at 10 tokens/sec, decode takes about 102.4 s and total latency becomes about 102.6348 s. This is only a simulation, not a real benchmark."
packed_prompt_8192,Qwen/Qwen2.5-1.5B-Instruct,8192,3371,0.2348,1024,10,102.4,102.6348,high,"With prompt_tokens=3371, estimated TTFT is about 0.2348 s. If the model generates 1024 output tokens at 10 tokens/sec, decode takes about 102.4 s and total latency becomes about 102.6348 s. This is only a simulation, not a real benchmark."
packed_prompt_4096,TinyLlama/TinyLlama-1.1B-Chat-v1.0,4096,2663,0.2065,1024,10,102.4,102.6065,high,"With prompt_tokens=2663, estimated TTFT is about 0.2065 s. If the model generates 1024 output tokens at 10 tokens/sec, decode takes about 102.4 s and total latency becomes about 102.6065 s. This is only a simulation, not a real benchmark."
packed_prompt_4096,mistralai/Mistral-7B-Instruct-v0.2,4096,2621,0.2048,1024,10,102.4,102.6048,high,"With prompt_tokens=2621, estimated TTFT is about 0.2048 s. If the model generates 1024 output tokens at 10 tokens/sec, decode takes about 102.4 s and total latency becomes about 102.6048 s. This is only a simulation, not a real benchmark."
packed_prompt_32768,TinyLlama/TinyLlama-1.1B-Chat-v1.0,32768,3877,0.2551,2048,25,81.92,82.1751,high,"With prompt_tokens=3877, estimated TTFT is about 0.2551 s. If the model generates 2048 output tokens at 25 tokens/sec, decode takes about 81.92 s and total latency becomes about 82.1751 s. This is only a simulation, not a real benchmark."
packed_prompt_8192,TinyLlama/TinyLlama-1.1B-Chat-v1.0,8192,3877,0.2551,2048,25,81.92,82.1751,high,"With prompt_tokens=3877, estimated TTFT is about 0.2551 s. If the model generates 2048 output tokens at 25 tokens/sec, decode takes about 81.92 s and total latency becomes about 82.1751 s. This is only a simulation, not a real benchmark."
packed_prompt_32768,mistralai/Mistral-7B-Instruct-v0.2,32768,3836,0.2534,2048,25,81.92,82.1734,high,"With prompt_tokens=3836, estimated TTFT is about 0.2534 s. If the model generates 2048 output tokens at 25 tokens/sec, decode takes about 81.92 s and total latency becomes about 82.1734 s. This is only a simulation, not a real benchmark."
packed_prompt_8192,mistralai/Mistral-7B-Instruct-v0.2,8192,3836,0.2534,2048,25,81.92,82.1734,high,"With prompt_tokens=3836, estimated TTFT is about 0.2534 s. If the model generates 2048 output tokens at 25 tokens/sec, decode takes about 81.92 s and total latency becomes about 82.1734 s. This is only a simulation, not a real benchmark."
packed_prompt_8192,Qwen/Qwen2.5-1.5B-Instruct,8192,3371,0.2348,2048,25,81.92,82.1548,high,"With prompt_tokens=3371, estimated TTFT is about 0.2348 s. If the model generates 2048 output tokens at 25 tokens/sec, decode takes about 81.92 s and total latency becomes about 82.1548 s. This is only a simulation, not a real benchmark."
packed_prompt_32768,Qwen/Qwen2.5-1.5B-Instruct,32768,3371,0.2348,2048,25,81.92,82.1548,high,"With prompt_tokens=3371, estimated TTFT is about 0.2348 s. If the model generates 2048 output tokens at 25 tokens/sec, decode takes about 81.92 s and total latency becomes about 82.1548 s. This is only a simulation, not a real benchmark."
