category,tokenizer_name,text,character_count,word_count,token_count,tokens_per_word,tokens_per_character,token_pieces
Telugu sentence,google/gemma-2-2b-it -> gpt2,"నేను ఎల్ ఎల్ ఎం ఇన్‌ఫరెన్స్ గురించి నేర్చుకుంటున్నాను, అందుకే టోకెనైజేషన్‌ని పరిశీలిస్తున్నాను.",95,10,261,26.1,2.7474,"['à', '°', '¨', 'à', '±', 'ĩ', 'à', '°', '¨', 'à', '±', 'ģ', 'Ġ', 'à', '°', 'İ', 'à', '°', '²', 'à', '±', 'į', 'Ġ', 'à', '°', 'İ', 'à', '°', '²', 'à', '±', 'į', 'Ġ', 'à', '°', 'İ', 'à', '°', 'Ĥ', 'Ġ', 'à', '°', 'ĩ', 'à', '°', '¨', 'à', '±', 'į', 'âĢ', 'Į', 'à', '°', '«', 'à', '°', '°', 'à', '±', 'Ĩ', 'à', '°', '¨', 'à', '±', 'į', 'à', '°', '¸', 'à', '±', 'į', 'Ġ', 'à', '°', 'Ĺ', 'à', '±', 'ģ', 'à', '°', '°', 'à', '°', '¿', 'à', '°', 'Ĥ', 'à', '°', 'ļ', 'à', '°', '¿', 'Ġ', 'à', '°', '¨', 'à', '±', 'ĩ', 'à', '°', '°', 'à', '±', 'į', 'à', '°', 'ļ', 'à', '±', 'ģ', 'à', '°', 'ķ', 'à', '±', 'ģ', 'à', '°', 'Ĥ', 'à', '°', 'Ł', 'à', '±', 'ģ', 'à', '°', '¨', 'à', '±', 'į', 'à', '°', '¨', 'à', '°', '¾', 'à', '°', '¨', 'à', '±', 'ģ', ',', 'Ġ', 'à', '°', 'ħ', 'à', '°', 'Ĥ', 'à', '°', '¦', 'à', '±', 'ģ', 'à', '°', 'ķ', 'à', '±', 'ĩ', 'Ġ', 'à', '°', 'Ł', 'à', '±', 'ĭ', 'à', '°', 'ķ', 'à', '±', 'Ĩ', 'à', '°', '¨', 'à', '±', 'Ī', 'à', '°', 'ľ', 'à', '±', 'ĩ', 'à', '°', '·', 'à', '°', '¨', 'à', '±', 'į', 'âĢ', 'Į', 'à', '°', '¨', 'à', '°', '¿', 'Ġ', 'à', '°', 'ª', 'à', '°', '°', 'à', '°', '¿', 'à', '°', '¶', 'à', '±', 'Ģ', 'à', '°', '²', 'à', '°', '¿', 'à', '°', '¸', 'à', '±', 'į', 'à', '°', '¤', 'à', '±', 'ģ', 'à', '°', '¨', 'à', '±', 'į', 'à', '°', '¨', 'à', '°', '¾', 'à', '°', '¨', 'à', '±', 'ģ', '.']"
Telugu sentence,mistralai/Mistral-7B-Instruct-v0.2,"నేను ఎల్ ఎల్ ఎం ఇన్‌ఫరెన్స్ గురించి నేర్చుకుంటున్నాను, అందుకే టోకెనైజేషన్‌ని పరిశీలిస్తున్నాను.",95,10,150,15.0,1.5789,"['▁', 'న', '<0xE0>', '<0xB1>', '<0x87>', 'న', 'ు', '▁', '<0xE0>', '<0xB0>', '<0x8E>', 'ల', '్', '▁', '<0xE0>', '<0xB0>', '<0x8E>', 'ల', '్', '▁', '<0xE0>', '<0xB0>', '<0x8E>', 'ం', '▁', '<0xE0>', '<0xB0>', '<0x87>', 'న', '్', '\u200c', '<0xE0>', '<0xB0>', '<0xAB>', 'ర', '<0xE0>', '<0xB1>', '<0x86>', 'న', '్', '<0xE0>', '<0xB0>', '<0xB8>', '్', '▁', '<0xE0>', '<0xB0>', '<0x97>', 'ు', 'ర', 'ి', 'ం', '<0xE0>', '<0xB0>', '<0x9A>', 'ి', '▁', 'న', '<0xE0>', '<0xB1>', '<0x87>', 'ర', '్', '<0xE0>', '<0xB0>', '<0x9A>', 'ు', 'క', 'ు', 'ం', '<0xE0>', '<0xB0>', '<0x9F>', 'ు', 'న', '్', 'న', 'ా', 'న', 'ు', ',', '▁', '<0xE0>', '<0xB0>', '<0x85>', 'ం', '<0xE0>', '<0xB0>', '<0xA6>', 'ు', 'క', '<0xE0>', '<0xB1>', '<0x87>', '▁', '<0xE0>', '<0xB0>', '<0x9F>', '<0xE0>', '<0xB1>', '<0x8B>', 'క', '<0xE0>', '<0xB1>', '<0x86>', 'న', '<0xE0>', '<0xB1>', '<0x88>', '<0xE0>', '<0xB0>', '<0x9C>', '<0xE0>', '<0xB1>', '<0x87>', '<0xE0>', '<0xB0>', '<0xB7>', 'న', '్', '\u200c', 'న', 'ి', '▁', '<0xE0>', '<0xB0>', '<0xAA>', 'ర', 'ి', '<0xE0>', '<0xB0>', '<0xB6>', '<0xE0>', '<0xB1>', '<0x80>', 'ల', 'ి', '<0xE0>', '<0xB0>', '<0xB8>', '్', 'త', 'ు', 'న', '్', 'న', 'ా', 'న', 'ు', '.']"
Telugu sentence,Qwen/Qwen2.5-1.5B-Instruct,"నేను ఎల్ ఎల్ ఎం ఇన్‌ఫరెన్స్ గురించి నేర్చుకుంటున్నాను, అందుకే టోకెనైజేషన్‌ని పరిశీలిస్తున్నాను.",95,10,142,14.2,1.4947,"['à°¨', 'à±', 'ĩ', 'à°¨', 'à±', 'ģ', 'Ġà°', 'İ', 'à°²', 'à±', 'į', 'Ġà°', 'İ', 'à°²', 'à±', 'į', 'Ġà°', 'İ', 'à°', 'Ĥ', 'Ġà°', 'ĩ', 'à°¨', 'à±', 'į', 'âĢĮ', 'à°', '«', 'à°°', 'à±', 'Ĩ', 'à°¨', 'à±', 'į', 'à°', '¸', 'à±', 'į', 'Ġà°', 'Ĺ', 'à±', 'ģ', 'à°°', 'à°', '¿', 'à°', 'Ĥ', 'à°', 'ļ', 'à°', '¿', 'Ġà°', '¨', 'à±', 'ĩ', 'à°°', 'à±', 'į', 'à°', 'ļ', 'à±', 'ģ', 'à°ķ', 'à±', 'ģ', 'à°', 'Ĥ', 'à°', 'Ł', 'à±', 'ģ', 'à°¨', 'à±', 'į', 'à°¨', 'à°', '¾', 'à°¨', 'à±', 'ģ', ',', 'Ġà°', 'ħ', 'à°', 'Ĥ', 'à°¦', 'à±', 'ģ', 'à°ķ', 'à±', 'ĩ', 'Ġà°', 'Ł', 'à±', 'ĭ', 'à°ķ', 'à±', 'Ĩ', 'à°¨', 'à±', 'Ī', 'à°ľ', 'à±', 'ĩ', 'à°', '·', 'à°¨', 'à±', 'į', 'âĢĮ', 'à°¨', 'à°', '¿', 'Ġà°', 'ª', 'à°°', 'à°', '¿', 'à°', '¶', 'à±', 'Ģ', 'à°²', 'à°', '¿', 'à°', '¸', 'à±', 'į', 'à°¤', 'à±', 'ģ', 'à°¨', 'à±', 'į', 'à°¨', 'à°', '¾', 'à°¨', 'à±', 'ģ', '.']"
numbers-heavy text,mistralai/Mistral-7B-Instruct-v0.2,"Batch sizes 1, 4, 8, 16, 32 and 64 produced latencies of 122.5ms, 98.1ms, 87.4ms, 84.2ms, 83.9ms and 91.7ms on 2026-06-22.",122,21,82,3.9048,0.6721,"['▁B', 'atch', '▁sizes', '▁', '1', ',', '▁', '4', ',', '▁', '8', ',', '▁', '1', '6', ',', '▁', '3', '2', '▁and', '▁', '6', '4', '▁produced', '▁lat', 'encies', '▁of', '▁', '1', '2', '2', '.', '5', 'ms', ',', '▁', '9', '8', '.', '1', 'ms', ',', '▁', '8', '7', '.', '4', 'ms', ',', '▁', '8', '4', '.', '2', 'ms', ',', '▁', '8', '3', '.', '9', 'ms', '▁and', '▁', '9', '1', '.', '7', 'ms', '▁on', '▁', '2', '0', '2', '6', '-', '0', '6', '-', '2', '2', '.']"
numbers-heavy text,Qwen/Qwen2.5-1.5B-Instruct,"Batch sizes 1, 4, 8, 16, 32 and 64 produced latencies of 122.5ms, 98.1ms, 87.4ms, 84.2ms, 83.9ms and 91.7ms on 2026-06-22.",122,21,81,3.8571,0.6639,"['Batch', 'Ġsizes', 'Ġ', '1', ',', 'Ġ', '4', ',', 'Ġ', '8', ',', 'Ġ', '1', '6', ',', 'Ġ', '3', '2', 'Ġand', 'Ġ', '6', '4', 'Ġproduced', 'Ġlat', 'encies', 'Ġof', 'Ġ', '1', '2', '2', '.', '5', 'ms', ',', 'Ġ', '9', '8', '.', '1', 'ms', ',', 'Ġ', '8', '7', '.', '4', 'ms', ',', 'Ġ', '8', '4', '.', '2', 'ms', ',', 'Ġ', '8', '3', '.', '9', 'ms', 'Ġand', 'Ġ', '9', '1', '.', '7', 'ms', 'Ġon', 'Ġ', '2', '0', '2', '6', '-', '0', '6', '-', '2', '2', '.']"
long English paragraph,mistralai/Mistral-7B-Instruct-v0.2,"Large language model inference starts long before text generation. A tokenizer first converts raw text into smaller vocabulary units, and those token choices affect cost, context usage, and latency. Even when two models read the same sentence, their tokenizers may split code, punctuation, and multilingual text differently, which changes how much work the model needs to do.",375,57,76,1.3333,0.2027,"['▁Large', '▁language', '▁model', '▁in', 'ference', '▁starts', '▁long', '▁before', '▁text', '▁generation', '.', '▁A', '▁token', 'izer', '▁first', '▁conver', 'ts', '▁raw', '▁text', '▁into', '▁smaller', '▁voc', 'abulary', '▁units', ',', '▁and', '▁those', '▁token', '▁choices', '▁affect', '▁cost', ',', '▁context', '▁usage', ',', '▁and', '▁lat', 'ency', '.', '▁Even', '▁when', '▁two', '▁models', '▁read', '▁the', '▁same', '▁sentence', ',', '▁their', '▁token', 'izers', '▁may', '▁split', '▁code', ',', '▁punct', 'uation', ',', '▁and', '▁mult', 'iling', 'ual', '▁text', '▁differently', ',', '▁which', '▁changes', '▁how', '▁much', '▁work', '▁the', '▁model', '▁needs', '▁to', '▁do', '.']"
long English paragraph,google/gemma-2-2b-it -> gpt2,"Large language model inference starts long before text generation. A tokenizer first converts raw text into smaller vocabulary units, and those token choices affect cost, context usage, and latency. Even when two models read the same sentence, their tokenizers may split code, punctuation, and multilingual text differently, which changes how much work the model needs to do.",375,57,71,1.2456,0.1893,"['Large', 'Ġlanguage', 'Ġmodel', 'Ġinference', 'Ġstarts', 'Ġlong', 'Ġbefore', 'Ġtext', 'Ġgeneration', '.', 'ĠA', 'Ġtoken', 'izer', 'Ġfirst', 'Ġconverts', 'Ġraw', 'Ġtext', 'Ġinto', 'Ġsmaller', 'Ġvocabulary', 'Ġunits', ',', 'Ġand', 'Ġthose', 'Ġtoken', 'Ġchoices', 'Ġaffect', 'Ġcost', ',', 'Ġcontext', 'Ġusage', ',', 'Ġand', 'Ġlatency', '.', 'ĠEven', 'Ġwhen', 'Ġtwo', 'Ġmodels', 'Ġread', 'Ġthe', 'Ġsame', 'Ġsentence', ',', 'Ġtheir', 'Ġtoken', 'izers', 'Ġmay', 'Ġsplit', 'Ġcode', ',', 'Ġpunct', 'uation', ',', 'Ġand', 'Ġmult', 'ilingual', 'Ġtext', 'Ġdifferently', ',', 'Ġwhich', 'Ġchanges', 'Ġhow', 'Ġmuch', 'Ġwork', 'Ġthe', 'Ġmodel', 'Ġneeds', 'Ġto', 'Ġdo', '.']"
long English paragraph,Qwen/Qwen2.5-1.5B-Instruct,"Large language model inference starts long before text generation. A tokenizer first converts raw text into smaller vocabulary units, and those token choices affect cost, context usage, and latency. Even when two models read the same sentence, their tokenizers may split code, punctuation, and multilingual text differently, which changes how much work the model needs to do.",375,57,69,1.2105,0.184,"['Large', 'Ġlanguage', 'Ġmodel', 'Ġinference', 'Ġstarts', 'Ġlong', 'Ġbefore', 'Ġtext', 'Ġgeneration', '.', 'ĠA', 'Ġtokenizer', 'Ġfirst', 'Ġconverts', 'Ġraw', 'Ġtext', 'Ġinto', 'Ġsmaller', 'Ġvocabulary', 'Ġunits', ',', 'Ġand', 'Ġthose', 'Ġtoken', 'Ġchoices', 'Ġaffect', 'Ġcost', ',', 'Ġcontext', 'Ġusage', ',', 'Ġand', 'Ġlatency', '.', 'ĠEven', 'Ġwhen', 'Ġtwo', 'Ġmodels', 'Ġread', 'Ġthe', 'Ġsame', 'Ġsentence', ',', 'Ġtheir', 'Ġtoken', 'izers', 'Ġmay', 'Ġsplit', 'Ġcode', ',', 'Ġpunctuation', ',', 'Ġand', 'Ġmult', 'ilingual', 'Ġtext', 'Ġdifferently', ',', 'Ġwhich', 'Ġchanges', 'Ġhow', 'Ġmuch', 'Ġwork', 'Ġthe', 'Ġmodel', 'Ġneeds', 'Ġto', 'Ġdo', '.']"
numbers-heavy text,google/gemma-2-2b-it -> gpt2,"Batch sizes 1, 4, 8, 16, 32 and 64 produced latencies of 122.5ms, 98.1ms, 87.4ms, 84.2ms, 83.9ms and 91.7ms on 2026-06-22.",122,21,55,2.619,0.4508,"['B', 'atch', 'Ġsizes', 'Ġ1', ',', 'Ġ4', ',', 'Ġ8', ',', 'Ġ16', ',', 'Ġ32', 'Ġand', 'Ġ64', 'Ġproduced', 'Ġlat', 'encies', 'Ġof', 'Ġ122', '.', '5', 'ms', ',', 'Ġ98', '.', '1', 'ms', ',', 'Ġ87', '.', '4', 'ms', ',', 'Ġ84', '.', '2', 'ms', ',', 'Ġ83', '.', '9', 'ms', 'Ġand', 'Ġ91', '.', '7', 'ms', 'Ġon', 'Ġ20', '26', '-', '06', '-', '22', '.']"
Python code,mistralai/Mistral-7B-Instruct-v0.2,"def estimate_cost(tokens, price_per_million=0.15):
    total = (tokens / 1_000_000) * price_per_million
    return round(total, 6)",130,13,54,4.1538,0.4154,"['▁def', '▁estimate', '_', 'cost', '(', 'tokens', ',', '▁price', '_', 'per', '_', 'mill', 'ion', '=', '0', '.', '1', '5', '):', '<0x0A>', '▁▁▁', '▁total', '▁=', '▁(', 'tokens', '▁/', '▁', '1', '_', '0', '0', '0', '_', '0', '0', '0', ')', '▁*', '▁price', '_', 'per', '_', 'mill', 'ion', '<0x0A>', '▁▁▁', '▁return', '▁round', '(', 'total', ',', '▁', '6', ')']"
