prompt_name,tokenizer_name,character_count,word_count,prompt_token_count,reserved_output_tokens,context_window,total_required_tokens,remaining_tokens,context_used_percent,fits_context_window
multilingual prompt,TinyLlama/TinyLlama-1.1B-Chat-v1.0,153,21,163,1024,4096,1187,2909,28.9795,TRUE
RAG-style prompt with multiple chunks,TinyLlama/TinyLlama-1.1B-Chat-v1.0,600,89,144,1024,4096,1168,2928,28.5156,TRUE
RAG-style prompt with multiple chunks,mistralai/Mistral-7B-Instruct-v0.2,600,89,139,1024,4096,1163,2933,28.3936,TRUE
multilingual prompt,mistralai/Mistral-7B-Instruct-v0.2,153,21,124,1024,4096,1148,2948,28.0273,TRUE
RAG-style prompt with multiple chunks,Qwen/Qwen2.5-1.5B-Instruct,600,89,119,1024,4096,1143,2953,27.9053,TRUE
multilingual prompt,Qwen/Qwen2.5-1.5B-Instruct,153,21,109,1024,4096,1133,2963,27.6611,TRUE
JSON/tool-calling prompt,TinyLlama/TinyLlama-1.1B-Chat-v1.0,357,43,108,1024,4096,1132,2964,27.6367,TRUE
JSON/tool-calling prompt,mistralai/Mistral-7B-Instruct-v0.2,357,43,108,1024,4096,1132,2964,27.6367,TRUE
long essay prompt,TinyLlama/TinyLlama-1.1B-Chat-v1.0,447,66,92,1024,4096,1116,2980,27.2461,TRUE
JSON/tool-calling prompt,Qwen/Qwen2.5-1.5B-Instruct,357,43,90,1024,4096,1114,2982,27.1973,TRUE
long essay prompt,mistralai/Mistral-7B-Instruct-v0.2,447,66,90,1024,4096,1114,2982,27.1973,TRUE
chat history prompt,TinyLlama/TinyLlama-1.1B-Chat-v1.0,388,59,85,1024,4096,1109,2987,27.0752,TRUE
chat history prompt,mistralai/Mistral-7B-Instruct-v0.2,388,59,84,1024,4096,1108,2988,27.0508,TRUE
long essay prompt,Qwen/Qwen2.5-1.5B-Instruct,447,66,83,1024,4096,1107,2989,27.0264,TRUE
code debugging prompt,mistralai/Mistral-7B-Instruct-v0.2,322,52,80,1024,4096,1104,2992,26.9531,TRUE
code debugging prompt,TinyLlama/TinyLlama-1.1B-Chat-v1.0,322,52,80,1024,4096,1104,2992,26.9531,TRUE
chat history prompt,Qwen/Qwen2.5-1.5B-Instruct,388,59,75,1024,4096,1099,2997,26.8311,TRUE
code debugging prompt,Qwen/Qwen2.5-1.5B-Instruct,322,52,72,1024,4096,1096,3000,26.7578,TRUE
short user question,mistralai/Mistral-7B-Instruct-v0.2,99,15,18,1024,4096,1042,3054,25.4395,TRUE
short user question,TinyLlama/TinyLlama-1.1B-Chat-v1.0,99,15,17,1024,4096,1041,3055,25.415,TRUE
